Entity,Code,Year,Production
Argentina,ARG,1990,3007000
Bolivia,BOL,1990,130398
Brazil,BRA,1990,4115000
Chile,CHL,1990,242452
Colombia,COL,1990,746107
Ecuador,ECU,1990,100007
Guyana,GUY,1990,2200
Paraguay,PRY,1990,189000
Peru,PER,1990,117112
Suriname,SUR,1990,2250
Uruguay,URY,1990,334552
Venezuela,VEN,1990,381911
