Entity,Code,Year,Production
Argentina,ARG,1985,2847838
Bolivia,BOL,1985,125042
Brazil,BRA,1985,3480000
Chile,CHL,1985,174832
Colombia,COL,1985,585859
Ecuador,ECU,1985,88500
Guyana,GUY,1985,1669
Paraguay,PRY,1985,114777
Peru,PER,1985,101445
Suriname,SUR,1985,1468
Uruguay,URY,1985,332425
Venezuela,VEN,1985,323568
