Entity,Code,Year,Production
Argentina,ARG,2020,3168472
Bolivia,BOL,2020,276447
Brazil,BRA,2020,10100000
Chile,CHL,2020,223350
Colombia,COL,2020,751038
Ecuador,ECU,2020,233425
Guyana,GUY,2020,2927
Paraguay,PRY,2020,515612
Peru,PER,2020,183941
Suriname,SUR,2020,1724
Uruguay,URY,2020,506791
Venezuela,VEN,2020,408573
