Entity,Code,Year,Production
Argentina,ARG,2010,2630163
Bolivia,BOL,2010,202347
Brazil,BRA,2010,9115000
Chile,CHL,2010,210744
Colombia,COL,2010,766591
Ecuador,ECU,2010,260000
Guyana,GUY,2010,2260
Paraguay,PRY,2010,343000
Peru,PER,2010,171872
Suriname,SUR,2010,1882
Uruguay,URY,2010,524000
Venezuela,VEN,2010,469932
