Entity,Code,Year,Production
Argentina,ARG,1995,2688000
Bolivia,BOL,1995,139597
Brazil,BRA,1995,5710200
Chile,CHL,1995,257792
Colombia,COL,1995,702334
Ecuador,ECU,1995,148663
Guyana,GUY,1995,3800
Paraguay,PRY,1995,191187
Peru,PER,1995,107106
Suriname,SUR,1995,1800
Uruguay,URY,1995,337585
Venezuela,VEN,1995,315567
