Entity,Code,Year,Production
Argentina,ARG,2015,2727000
Bolivia,BOL,2015,243000
Brazil,BRA,2015,9425000
Chile,CHL,2015,225261
Colombia,COL,2015,858840
Ecuador,ECU,2015,214788
Guyana,GUY,2015,2282
Paraguay,PRY,2015,444668
Peru,PER,2015,196015
Suriname,SUR,2015,1474
Uruguay,URY,2015,536769
Venezuela,VEN,2015,434306
